Order Date,Category,Sales
8/11/2016,Furniture,261.96
8/11/2016,Furniture,731.94
12/6/2016,Office Supplies,14.62
11/10/2015,Furniture,957.5775
11/10/2015,Office Supplies,22.368000000000002
9/6/2014,Furniture,48.86
9/6/2014,Office Supplies,7.28
9/6/2014,Technology,907.1519999999999
9/6/2014,Office Supplies,18.504
9/6/2014,Office Supplies,114.9
9/6/2014,Furniture,1706.184
9/6/2014,Technology,911.424
15/4/2017,Office Supplies,15.552
5/12/2016,Office Supplies,407.976
22/11/2015,Office Supplies,68.81
22/11/2015,Office Supplies,2.544
11/11/2014,Office Supplies,665.88
13/5/2014,Office Supplies,55.5
27/8/2014,Office Supplies,8.56
27/8/2014,Technology,213.48
27/8/2014,Office Supplies,22.72
9/12/2016,Office Supplies,19.46
9/12/2016,Office Supplies,60.34
16/7/2017,Furniture,71.372
25/9/2015,Furniture,1044.63
16/1/2016,Office Supplies,11.648
16/1/2016,Technology,90.57
17/9/2015,Furniture,3083.43
17/9/2015,Office Supplies,9.618
17/9/2015,Furniture,124.2
17/9/2015,Office Supplies,3.264
17/9/2015,Office Supplies,86.304
17/9/2015,Office Supplies,6.858
17/9/2015,Office Supplies,15.76
19/10/2017,Office Supplies,29.471999999999998
8/12/2016,Technology,1097.5439999999999
8/12/2016,Furniture,190.92
27/12/2015,Office Supplies,113.32799999999999
27/12/2015,Furniture,532.3992
27/12/2015,Furniture,212.058
27/12/2015,Technology,371.168
10/9/2017,Technology,147.168
17/7/2016,Office Supplies,77.88
19/9/2017,Office Supplies,95.616
11/3/2016,Technology,45.98
11/3/2016,Office Supplies,17.46
20/10/2014,Office Supplies,211.96
20/6/2016,Technology,45.0
20/6/2016,Technology,21.8
18/4/2015,Office Supplies,38.22
18/4/2015,Office Supplies,75.18
18/4/2015,Furniture,6.16
18/4/2015,Furniture,89.99
11/12/2016,Office Supplies,15.26
11/12/2016,Technology,1029.95
17/6/2016,Office Supplies,208.56
17/6/2016,Office Supplies,32.4
17/6/2016,Furniture,319.41
17/6/2016,Office Supplies,14.56
17/6/2016,Technology,30.0
17/6/2016,Office Supplies,48.48
17/6/2016,Office Supplies,1.68
24/11/2015,Technology,13.98
24/11/2015,Office Supplies,25.824
24/11/2015,Office Supplies,146.73
24/11/2015,Furniture,79.76
30/4/2015,Furniture,213.115
5/12/2014,Office Supplies,1113.024
5/12/2014,Technology,167.968
4/6/2016,Office Supplies,75.88
18/9/2016,Office Supplies,4.6160000000000005
14/9/2017,Office Supplies,19.05
26/4/2015,Furniture,831.936
26/4/2015,Furniture,97.04
26/4/2015,Office Supplies,72.78399999999999
9/12/2017,Office Supplies,1.248
9/12/2017,Furniture,9.708
9/12/2017,Office Supplies,27.24
26/11/2014,Furniture,19.3
12/6/2016,Office Supplies,208.16
12/6/2016,Office Supplies,16.74
12/10/2014,Office Supplies,14.9
12/10/2014,Office Supplies,21.39
3/9/2015,Office Supplies,200.984
13/11/2017,Office Supplies,230.37599999999998
28/5/2017,Furniture,301.96
26/10/2017,Technology,19.99
26/10/2017,Office Supplies,6.16
5/4/2016,Office Supplies,158.368
17/9/2016,Office Supplies,20.1
17/9/2016,Technology,73.584
17/9/2016,Office Supplies,6.48
31/1/2015,Office Supplies,12.96
31/1/2015,Furniture,53.34
31/1/2015,Office Supplies,32.96
6/11/2017,Office Supplies,5.682
9/11/2017,Furniture,96.53
17/6/2017,Office Supplies,51.312
6/9/2016,Office Supplies,77.88
29/8/2016,Office Supplies,64.624
29/8/2016,Technology,95.976
29/8/2016,Office Supplies,1.788
1/12/2016,Office Supplies,23.92
13/11/2015,Technology,238.896
13/11/2015,Furniture,102.36
13/11/2015,Office Supplies,36.882
23/11/2017,Technology,74.112
23/11/2017,Technology,27.991999999999997
23/11/2017,Office Supplies,3.304
15/10/2015,Technology,339.96
25/12/2017,Furniture,41.96
3/11/2016,Office Supplies,75.96
3/11/2016,Office Supplies,27.24
